,mrp,ram_space,storage_space,os,storage_type,ram_type,cpu,display_size,touch_screen,warranty
0,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
1,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
2,32990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
3,49990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
4,49990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
5,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
6,38990.0,8 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
7,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
8,46990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
9,44990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 QUAD CORE,14.0,NO,1 Y
10,59990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
11,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
12,32990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
13,52990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,17.3,NO,1 Y
14,29990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
15,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
16,47990.0,8 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
17,45990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
18,47990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
19,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
20,88990.0,8 GB,256 GB,MAC OS,SSD,DDR4,APPLE M1,13.3,NO,1 Y
21,40990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
22,19490.0,4 GB,256 GB,DOS,SSD,DDR4,INTEL CELERON DUAL CORE,15.6,NO,1 Y
23,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
24,65990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
25,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
26,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
27,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
